secondary_substation_unique_id,geometry
SSEN-2504603100,POINT (-0.36593 51.502534)
SSEN-2504604020,POINT (-0.380706 51.503566)
SSEN-2504604080,POINT (-0.372508 51.504343)
SSEN-2504604140,POINT (-0.369687 51.503845)
SSEN-2504605020,POINT (-0.376993 51.509917)
SSEN-2504605060,POINT (-0.376371 51.512426)
SSEN-2504605080,POINT (-0.375788 51.514226)
SSEN-2504605100,POINT (-0.378609 51.511072)
SSEN-2504605120,POINT (-0.37784 51.511628)
SSEN-2504606020,POINT (-0.364007 51.50194)
SSEN-2504606060,POINT (-0.36832 51.499357)
SSEN-2504608020,POINT (-0.382119 51.501103)
SSEN-2504608060,POINT (-0.377363 51.500309)
SSEN-2504608160,POINT (-0.371478 51.499697)
SSEN-2504608180,POINT (-0.370221 51.501802)
SSEN-2504608200,POINT (-0.369106 51.502371)
SSEN-2505001020,POINT (-0.321763 51.510835)
SSEN-2505001040,POINT (-0.325857 51.512831)
SSEN-2505001060,POINT (-0.327666 51.514206)
SSEN-2505001080,POINT (-0.326647 51.513706)
SSEN-2505001100,POINT (-0.328702 51.516622)
SSEN-2505001120,POINT (-0.326226 51.516541)
SSEN-2505001140,POINT (-0.323813 51.515509)
SSEN-2505001160,POINT (-0.328744 51.517827)
SSEN-2505002040,POINT (-0.324093 51.509866)
SSEN-2505002080,POINT (-0.32598 51.510261)
SSEN-2505006015,POINT (-0.324734 51.510657)
SSEN-2505006017,POINT (-0.325335 51.51046)
SSEN-2505006020,POINT (-0.324558 51.511329)
SSEN-2505006030,POINT (-0.328485 51.511529)
SSEN-2506601020,POINT (-0.250279 51.512529)
SSEN-2506602020,POINT (-0.259728 51.511896)
SSEN-2506602040,POINT (-0.258011 51.510072)
SSEN-2506602080,POINT (-0.261542 51.509684)
SSEN-2506602100,POINT (-0.26357 51.51055)
SSEN-2506602120,POINT (-0.265235 51.509972)
SSEN-2506602140,POINT (-0.268289 51.510359)
SSEN-2506603020,POINT (-0.259519 51.515122)
SSEN-2506603040,POINT (-0.261957 51.516192)
SSEN-2506603060,POINT (-0.262485 51.514428)
SSEN-2506603080,POINT (-0.26456 51.515196)
SSEN-2506604020,POINT (-0.251028 51.513655)
SSEN-2506604040,POINT (-0.252731 51.515479)
SSEN-2506604060,POINT (-0.252227 51.517342)
SSEN-2506605010,POINT (-0.25608 51.514695)
SSEN-2506605020,POINT (-0.256452 51.515786)
SSEN-2506605040,POINT (-0.252472 51.518848)
SSEN-2506606020,POINT (-0.255875 51.512801)
SSEN-2506606040,POINT (-0.263182 51.506732)
SSEN-2506606100,POINT (-0.262966 51.504462)
SSEN-2506606120,POINT (-0.257822 51.506347)
SSEN-2506606140,POINT (-0.255776 51.50709)
SSEN-2506606160,POINT (-0.253148 51.507212)
SSEN-2506608060,POINT (-0.250944 51.511352)
SSEN-2506608088,POINT (-0.248557 51.512154)
SSEN-2506608140,POINT (-0.250488 51.507083)
SSEN-2507602040,POINT (-0.265987 51.526215)
